"scrape_date", "scrape_time", "name", "capacity", "count", "time"
"2022-09-07", "18:15:41", "Foundry", "120", "65", "Last updated: 1 min ago (7:14 PM)"
"2022-09-07", "18:15:41", "KendalWall", "120", "50", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "LancasterWall", "150", "41", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "PrestonWall", "100", "22", "Last updated: 2 mins ago (7:14 PM)"
"2022-09-07", "18:15:41", "The Church", "150", "76", "Last updated: now (7:14 PM)"
"2022-09-07", "18:15:41", "The Mothership", "400", "159", "Last updated: now (7:14 PM)"
"2022-09-07", "18:15:41", "The Newsroom", "225", "171", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "The Prop Store", "180", "94", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "High Sports Brighton", "85", "74", "Last updated: now (7:14 PM)"
"2022-09-07", "18:15:41", "Awesome Walls Liverpool", "69", "20", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Awesome Walls Sheffield", "179", "81", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Awesome Walls Stockport", "95", "85", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Awesome Walls Stoke", "100", "61", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Blue Spider UK", "50", "41", "4 mins ago (7:11 PM)"
"2022-09-07", "18:15:41", "Yellow Spider UK", "50", "15", "4 mins ago (7:11 PM)"
"2022-09-07", "18:15:41", "Big Rock Bond", "200", "122", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Big Rock Hub", "200", "54", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Yonder", "120", "75", "Last updated: 2 mins ago (7:14 PM)"
"2022-09-07", "18:15:41", "Beacon", "190", "90", "Last updated: 2 mins ago (7:13 PM)"
"2022-09-07", "18:15:41", "Roc-Bloc", "150", "88", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Boulder Hut", "0", "0", ""
"2022-09-07", "18:15:41", "The Climbing Experience", "150", "47", "Last updated: now (12:15 PM)"
"2022-09-07", "18:15:41", "Pinnacle Northampton", "50", "50", "Last updated: 2 mins ago (7:13 PM)"
"2022-09-07", "18:15:41", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "18:15:41", "Liverpool Matchworks", "200", "111", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "18:15:41", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "18:15:41", "The Climbing Hangar Exeter", "200", "181", "Last updated: now (7:14 PM)"
"2022-09-07", "18:15:41", "The Hangar Liverpool", "275", "153", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Redpoint Worcester", "250", "58", "Last updated: now (6:15 PM)"
"2022-09-07", "18:15:41", "Volume1", "150", "65", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "18:15:41", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "19:15:36", "Oakwood", "0", "0", "Last updated: now (8:15 PM)"
